Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-03-12,61.0305,61.2398,52.7478,52.7478,1194893.6367385
2020-03-13,54.492,58.6944,53.1843,55.5204,2302498.0866999
2020-03-16,53.1843,53.1843,47.8655,48.6155,1780986.44758
2020-03-17,50.3767,52.6437,46.0352,48.7726,2515300.9694412
2020-03-18,47.0805,49.4876,45.6166,45.9821,1805666.3133177
2020-03-19,45.8599,47.552,45.2151,46.2093,1917983.8634403
2020-03-20,47.9526,50.7432,47.6042,49.5226,2462301.4977738
2020-03-23,47.9526,48.1799,46.2093,46.2965,1054126.2116123
2020-03-24,48.5113,48.9819,46.9593,47.517,1114474.1951388
2020-03-25,49.6969,50.4809,46.4707,48.1269,1312686.9416071
2020-03-26,47.8485,50.1324,45.5986,49.6969,1003960.3706542
2020-03-27,50.0974,50.7432,47.6042,48.232,896822.40798137
2020-03-30,48.8247,48.9639,46.9763,48.8247,580089.29933481
2020-03-31,49.0861,49.9232,47.9526,48.9469,1018455.8670017
2020-04-01,48.1269,48.6505,47.0985,47.0985,993672.45405152
2020-04-02,47.7433,47.7784,46.2443,47.0985,1239245.2460408
2020-04-03,46.5749,46.7671,45.7908,46.5579,830597.84178943
2020-04-06,47.7784,49.9582,47.5341,49.7139,1141534.5333544
2020-04-07,50.568,54.7534,50.3938,53.4627,2186956.0986464
2020-04-08,53.2194,54.387,47.8835,48.3892,3117806.5701789
2020-04-09,49.6097,49.871,47.6913,48.6155,3354154.7529632
2020-04-14,49.6969,49.784,48.3892,49.3304,4285433.8876875
2020-04-15,50.1324,50.2025,47.0985,47.3428,1739052.053315
2020-04-16,47.9526,48.0048,46.4536,46.8892,1412077.791323
2020-04-17,47.517,47.9176,46.9063,47.552,1192291.5954939
2020-04-20,47.8655,47.9006,46.6449,47.9006,1054902.2590011
2020-04-21,47.6913,47.6913,45.7729,45.7729,1137686.5853264
2020-04-22,45.7729,46.2093,44.2038,44.7265,2640358.1669413
2020-04-23,45.0929,45.0929,42.8961,43.8553,3347299.4821274
2020-04-24,43.4188,43.7152,41.9369,42.9923,2834960.1219007
2020-04-27,43.6811,43.7332,41.5184,41.8498,4506962.571556
2020-04-28,41.8237,43.4278,41.0648,42.6518,2970924.2924572
2020-04-29,42.73,45.3372,42.6689,45.1801,3491786.8130295
2020-04-30,45.6858,46.4356,44.8487,45.3202,2924437.1610722
2020-05-04,44.4652,44.4652,43.2625,43.55,1151730.0368535
2020-05-05,44.0296,44.3259,43.2796,43.5931,1370972.8881694
2020-05-06,44.0116,44.0996,42.7739,42.9392,2064208.1153273
2020-05-07,43.1225,43.9425,42.4336,43.4188,1165505.1563566
2020-05-08,44.2038,44.3781,43.4188,43.515,466874.34003665
2020-05-11,43.8724,43.9595,42.3294,42.3294,839060.87794715
2020-05-12,43.4718,44.7095,42.0761,44.7095,2329852.3653899
2020-05-13,44.2038,46.0352,43.9775,44.3781,2497229.1973222
2020-05-14,44.0296,44.0296,42.4605,43.2886,1497267.0851659
2020-05-15,43.5931,44.1167,43.3317,43.6111,1321623.1773921
2020-05-18,44.0646,45.128,43.5059,45.0759,1735499.1591722
2020-05-19,45.5986,45.7208,44.6394,45.0409,2053989.2301997
2020-05-20,44.8837,45.1451,44.308,44.8487,1596169.1475021
2020-05-21,44.8145,45.3372,44.4832,45.163,1390440.8775416
2020-05-22,44.5523,44.5523,43.6111,44.1688,1695914.0618804
2020-05-25,44.6574,44.9016,44.1338,44.9016,284005.5090123
2020-05-26,45.2502,46.6099,45.0759,46.6099,3072407.2412312
2020-05-27,46.6279,49.069,46.2093,48.3191,6256311.4487608
2020-05-28,48.8247,50.3246,45.948,46.5579,6673227.0422645
2020-05-29,45.7908,46.1564,44.5523,45.8259,6680073.4058133
2020-06-01,46.5058,47.0465,45.5986,46.2265,1470628.7296767
2020-06-02,46.4536,46.4878,45.2151,45.6858,2272207.7434989
2020-06-03,46.0352,47.4991,45.5986,47.4991,2743615.8926704
2020-06-04,47.517,48.0227,46.75,47.9526,2464203.2035701
2020-06-05,48.3892,50.1154,48.0927,49.9582,2995054.1332163
2020-06-08,50.1154,52.5736,49.784,52.3123,3259253.1759466
2020-06-09,53.0101,53.7421,50.1846,50.6902,3195425.7833959
2020-06-10,50.7432,50.8303,48.9289,49.5226,1365215.4404689
2020-06-12,47.0805,48.4583,46.4707,47.1336,3434004.1281884
2020-06-15,46.6449,46.6449,45.4594,45.8079,1919825.4450487
2020-06-16,47.2557,49.5226,47.0113,48.9119,2050306.066983
2020-06-17,49.0861,49.5046,47.6042,48.0398,1259688.5833506
2020-06-18,47.8305,48.5805,47.3249,48.1449,1048674.9519059
2020-06-19,48.3712,48.3892,47.5341,47.9006,1620781.0951756
2020-06-22,47.6392,47.6913,46.75,46.9413,972871.71184674
2020-06-23,47.4299,49.4346,47.2206,49.1732,1118067.1720735
2020-06-24,49.2083,49.4346,47.6042,47.6042,1176993.3298963
2020-06-25,47.3428,47.3949,46.3135,47.2557,2025694.1193095
